Station  Channel  Latitude   Longitude  Azimuth    Distance   Khole  StdDev       P_time     PP_time    Net  Filename
SSB      BHZ      45.2790    4.5420     313.35     75.50      10     2.5950e-01   706.56     872.11     G    Marked/G.SSB.10.BHZ.D.2025.087.062236.SAC
SUR      BHZ      -32.3797   20.8117    234.87     89.97      10     3.6278e-01   780.71     990.85     II   Marked/II.SUR.10.BHZ.M.2025.087.062351.SAC
TAM      BHZ      22.7915    5.5284     291.44     82.00      00     9.7320e-02   743.61     926.34     G    Marked/G.TAM.00.BHZ.D.2025.087.062312.SAC
TARA     BHZ      1.3549     172.9229   93.56      77.44      10     1.0137e+00   717.13     888.45     IU   Marked/IU.TARA.10.BHZ.M.2025.087.062247.SAC
TAU      BHZ      -42.9099   147.3204   144.35     80.29      00     4.2380e-01   731.28     912.17     II   Marked/II.TAU.00.BHZ.M.2025.087.062303.SAC
TIRR     BHZ      44.4581    28.4128    309.60     58.97      --     1.8518e-01   600.49     728.68     GE   Marked/GE.TIRR..BHZ.D.2025.087.062028.SAC
TIXI     BHZ      71.6341    128.8667   12.42      53.08      00     2.4442e-01   558.82     676.06     IU   Marked/IU.TIXI.00.BHZ.M.2025.087.062009.SAC
TLY      BHZ      51.6807    103.6438   9.55       30.28      00     2.7925e-01   374.91     427.99     II   Marked/II.TLY.00.BHZ.M.2025.087.061703.SAC
TOLI2    BHZ      1.1112     120.7817   127.26     31.96      --     4.8259e-01   386.99     449.93     GE   Marked/GE.TOLI2..BHZ.D.2025.087.061657.SAC
TSUM     BHZ      -19.2023   17.5838    248.01     86.92      00     1.0792e-01   766.55     966.43     IU   Marked/IU.TSUM.00.BHZ.M.2025.087.062337.SAC
UOSS     BHZ      24.9453    56.2042    282.61     36.43      00     2.0403e-01   427.35     506.03     II   Marked/II.UOSS.00.BHZ.M.2025.087.061756.SAC
VAL      BHZ      51.9394    -10.2442   323.26     82.20      --     1.0735e+00   743.77     927.98     GE   Marked/GE.VAL..BHZ.D.2025.087.062309.SAC
VOI      BHZ      -21.9065   46.7933    230.93     64.97      --     1.0110e-01   639.87     781.48     GE   Marked/GE.VOI..BHZ.D.2025.087.062112.SAC
VSU      BHZ      58.4620    26.7347    325.76     60.56      --     5.6781e-01   612.11     742.73     GE   Marked/GE.VSU..BHZ.D.2025.087.062052.SAC
WIN      BHZ      -22.5691   17.0915    245.14     88.74      --     2.0264e-01   775.87     981.03     GE   Marked/GE.WIN..BHZ.D.2025.087.062323.SAC
WRAB     BHZ      -19.9336   134.3600   135.18     56.28      00     2.2997e-01   580.60     704.78     II   Marked/II.WRAB.00.BHZ.M.2025.087.062032.SAC
YAK      BHZ      62.0310    129.6805   21.25      46.18      10     2.7655e-01   506.83     612.03     IU   Marked/IU.YAK.10.BHZ.M.2025.087.061916.SAC
YSS      BHZ      46.9587    142.7604   44.83      45.04      00     1.9467e-01   497.00     599.86     IU   Marked/IU.YSS.00.BHZ.M.2025.087.061907.SAC
