Station  Channel  Latitude   Longitude  Azimuth    Distance   StdDev       MaxAmp       P_time     PP_time    Net  Filename
SSPA     BHZ      40.6358    -77.8876   42.08      74.13      1.2523e-01   9.3662e+01   693.02     858.45     SYN  SSPABHZ
UNM      BHZ      19.3297    -99.1781   69.90      80.91      7.7047e-01   1.0706e+02   730.87     915.26     SYN  UNMBHZ
YBH      BHZ      41.7320    -122.7104  69.48      50.90      1.9228e-01   1.3320e+02   537.77     654.34     SYN  YBHBHZ
NPW      BHZ      19.7785    96.1376    262.10     58.81      1.3410e-01   1.2714e+02   595.01     725.23     SYN  NPWBHZ
ANTO     BHZ      39.8681    32.7936    321.38     77.05      6.9640e-02   1.6288e+02   709.76     883.12     SYN  ANTOBHZ
NV31     BHZ      38.4328    -118.1554  69.65      55.70      6.8905e-02   1.2377e+02   573.03     697.57     SYN  NV31BHZ
LVZ      BHZ      67.8979    34.6514    337.49     53.01      2.9042e-01   2.6242e+02   553.47     673.42     SYN  LVZBHZ
DAV      BHZ      7.0697     125.5791   224.79     53.56      1.7755e+00   1.3681e+02   557.52     678.38     SYN  DAVBHZ
YKAW1    BHZ      62.4822    -114.4842  42.15      43.34      1.8071e-01   1.5149e+02   478.78     579.93     SYN  YKAW1BHZ
WCI      BHZ      38.2289    -86.2939   49.09      72.47      1.3266e-01   8.5374e+01   683.20     844.28     SYN  WCIBHZ
GSI      BHZ      1.3039     97.5755    248.68     72.74      8.9324e-01   8.5544e+01   684.85     846.65     SYN  GSIBHZ
RAR      BHZ      -21.2125   -159.7733  142.67     81.48      2.5654e+00   1.8135e+02   733.91     919.99     SYN  RARBHZ
TIRR     BHZ      44.4581    28.4128    326.59     74.60      5.9883e-02   1.3515e+02   695.75     862.43     SYN  TIRRBHZ
KURK     BHZ      50.7154    78.6202    302.47     47.95      1.6207e-01   4.0555e+02   515.22     627.44     SYN  KURKBHZ
UOSS     BHZ      24.9453    56.2042    296.25     78.46      8.4197e-02   1.4018e+02   717.61     894.92     SYN  UOSSBHZ
FALKS    BHZ      51.6819    11.2655    340.49     72.61      5.5661e-02   1.6149e+02   684.05     845.50     SYN  FALKSBHZ
RAYN     BHZ      23.5225    45.5032    303.46     85.27      8.5591e-02   1.0883e+02   753.38     951.02     SYN  RAYNBHZ
ALE      BHZ      82.5033    -62.3500   7.42       43.25      1.3313e-01   2.7127e+02   478.08     579.00     SYN  ALEBHZ
KIV      BHZ      43.9553    42.6863    317.17     69.66      8.6241e-02   2.1148e+02   666.22     820.25     SYN  KIVBHZ
HRV      BHZ      42.5064    -71.5583   36.88      74.98      6.0389e-02   9.2201e+01   697.95     865.64     SYN  HRVBHZ
IVI      BHZ      61.2058    -48.1712   14.81      64.04      5.9831e-01   1.4953e+02   630.39     771.34     SYN  IVIBHZ
QIZ      BHZ      19.0293    109.8440   249.19     51.33      2.6688e-01   1.1881e+02   540.96     658.20     SYN  QIZBHZ
TX31     BHZ      29.3343    -103.6677  66.79      70.54      1.7857e-01   8.7858e+01   671.57     827.76     SYN  TX31BHZ
PABE     BHZ      55.5052    23.9680    334.70     66.14      1.3927e-01   1.8989e+02   644.01     789.67     SYN  PABEBHZ
WRAB     BHZ      -19.9336   134.3600   205.20     75.89      1.1645e-01   9.5492e+01   703.15     873.31     SYN  WRABBHZ
PLAI     BHZ      -8.8275    117.7765   225.01     71.26      2.7195e-01   7.1256e+01   675.96     833.96     SYN  PLAIBHZ
MSVF     BHZ      -17.7448   178.0528   162.17     71.92      8.4439e-01   1.8840e+02   679.97     839.65     SYN  MSVFBHZ
JAGI     BHZ      -8.4702    114.1521   228.56     72.54      8.2828e-01   7.0428e+01   683.67     844.95     SYN  JAGIBHZ
HKPS     BHZ      22.2776    114.1415   247.53     46.31      9.6888e-01   1.3484e+02   502.44     611.53     SYN  HKPSBHZ
