Station  Channel  Latitude   Longitude  Azimuth    Distance   Khole  StdDev       P_time     PP_time    Net  Filename
PALK     BHZ      7.2728     80.7022    266.34     77.92      10     1.4750e-01   715.33     890.44     II   Marked/II.PALK.10.BHZ.M.2025.210.232646.SAC
PLAI     BHZ      -8.8275    117.7765   225.01     71.26      --     2.7195e-01   674.05     833.96     GE   Marked/GE.PLAI..BHZ.D.2025.210.232557.SAC
PMBI     BHZ      -2.9024    104.6993   240.02     72.36      --     1.4234e+00   683.89     843.40     GE   Marked/GE.PMBI..BHZ.D.2025.210.232605.SAC
PMG      BHZ      -9.4047    147.1597   194.67     62.94      00     1.3404e-01   622.48     761.66     GE   Marked/GE.PMG.00.BHZ.D.2025.210.232508.SAC
POHA     BHZ      19.7573    -155.5326  116.62     47.22      00     7.4309e-01   512.01     620.71     IU   Marked/IU.POHA.00.BHZ.M.2025.210.232321.SAC
PPTF     BHZ      -17.5896   -149.5652  132.31     82.40      00     2.8524e+00   740.04     927.56     G    Marked/G.PPTF.00.BHZ.D.2025.210.232710.SAC
QIZ      BHZ      19.0293    109.8440   249.19     51.33      00     2.6688e-01   543.52     658.20     IC   Marked/IC.QIZ.00.BHZ.M.2025.210.232352.SAC
RAR      BHZ      -21.2125   -159.7733  142.67     81.48      10     2.5320e+00   735.80     919.99     IU   Marked/IU.RAR.10.BHZ.M.2025.210.232705.SAC
RAYN     BHZ      23.5225    45.5032    303.46     85.27      10     8.5591e-02   754.82     951.02     II   Marked/II.RAYN.10.BHZ.M.2025.210.232724.SAC
RSSD     BHZ      44.1212    -104.0359  56.09      59.37      00     6.3548e-02   602.80     730.20     IU   Marked/IU.RSSD.00.BHZ.M.2025.210.232450.SAC
SANVU    BHZ      -15.4471   167.2032   172.83     68.22      10     1.8908e-01   655.76     807.77     G    Marked/G.SANVU.10.BHZ.D.2025.210.232548.SAC
SFJD     BHZ      66.9961    -50.6208   13.68      58.24      10     2.6163e-01   593.02     720.16     GE   Marked/GE.SFJD.10.BHZ.D.2025.210.232433.SAC
SOEI     BHZ      -9.7553    124.2672   218.39     69.49      --     4.2511e-01   664.08     818.71     GE   Marked/GE.SOEI..BHZ.D.2025.210.232549.SAC
SSB      BHZ      45.2790    4.5420     342.97     80.02      10     6.7749e-02   729.55     907.93     G    Marked/G.SSB.10.BHZ.D.2025.210.232657.SAC
SSPA     BHZ      40.6358    -77.8876   42.08      74.13      10     1.2523e-01   695.61     858.45     IU   Marked/IU.SSPA.10.BHZ.M.2025.210.232624.SAC
SUMG     BHZ      72.5742    -38.4626   6.83       54.23      10     2.9687e-01   566.09     684.39     GE   Marked/GE.SUMG.10.BHZ.D.2025.210.232358.SAC
TATO     BHZ      24.9735    121.4971   242.02     40.11      10     1.5685e+00   452.83     545.02     IU   Marked/IU.TATO.10.BHZ.M.2025.210.232223.SAC
TIRR     BHZ      44.4581    28.4128    326.59     74.60      --     5.9883e-02   697.98     862.43     GE   Marked/GE.TIRR..BHZ.D.2025.210.232618.SAC
TLY      BHZ      51.6807    103.6438   291.80     33.92      00     2.2979e-01   400.53     473.27     II   Marked/II.TLY.00.BHZ.M.2025.210.232131.SAC
TUC      BHZ      32.3098    -110.7847  69.65      64.27      00     1.9190e-01   635.85     773.39     IU   Marked/IU.TUC.00.BHZ.M.2025.210.232523.SAC
ULN      BHZ      47.8651    107.0532   283.91     33.63      00     2.3752e-01   397.55     469.69     IU   Marked/IU.ULN.00.BHZ.M.2025.210.232128.SAC
UNM      BHZ      19.3297    -99.1781   69.90      80.91      00     7.7047e-01   733.90     915.26     G    Marked/G.UNM.00.BHZ.D.2025.210.232702.SAC
UOSS     BHZ      24.9453    56.2042    296.25     78.46      00     8.4197e-02   718.10     894.92     II   Marked/II.UOSS.00.BHZ.M.2025.210.232649.SAC
VSU      BHZ      58.4620    26.7347    334.79     62.82      --     1.6002e-01   624.72     760.63     GE   Marked/GE.VSU..BHZ.D.2025.210.232449.SAC
WCI      BHZ      38.2289    -86.2939   49.09      72.47      00     1.3266e-01   686.03     844.28     IU   Marked/IU.WCI.00.BHZ.M.2025.210.232615.SAC
WRAB     BHZ      -19.9336   134.3600   205.20     75.89      00     1.1645e-01   702.11     873.31     II   Marked/II.WRAB.00.BHZ.M.2025.210.232634.SAC
XMAS     BHZ      2.0448     -157.4457  129.96     61.40      10     5.7002e-01   613.58     748.15     IU   Marked/IU.XMAS.10.BHZ.M.2025.210.232504.SAC
GLA      BHZ      33.0515    -114.8271  71.88      61.41      --     1.9535e-01   616.74     748.20     CI   Marked/CI.GLA..BHZ.D.2025.210.232503.SAC
GRFO     BHZ      49.6909    11.2203    339.85     74.50      00     8.9571e-02   698.57     861.59     IU   Marked/IU.GRFO.00.BHZ.M.2025.210.232626.SAC
GRTK     BHZ      21.5115    -71.1342   46.73      93.55      00     1.6356e-01   795.71     1017.01    CU   Marked/CU.GRTK.00.BHZ.M.2025.210.232804.SAC
GTBY     BHZ      19.9268    -75.1108   50.75      93.11      00     1.2034e-01   793.38     1013.57    CU   Marked/CU.GTBY.00.BHZ.M.2025.210.232802.SAC
HGN      BHZ      50.7640    5.9317     343.53     74.49      02     6.5419e-02   698.03     861.49     NL   Marked/NL.HGN.02.BHZ.D.2025.210.232615.SAC
MTDJ     BHZ      18.2260    -77.5345   53.58      93.40      00     2.6917e-01   795.00     1015.90    CU   Marked/CU.MTDJ.00.BHZ.M.2025.210.232803.SAC
NOUC     BHZ      -22.0986   166.3067   174.23     74.79      00     8.2706e-01   697.12     864.08     G    Marked/G.NOUC.00.BHZ.D.2025.210.232628.SAC
NV31     BHZ      38.4328    -118.1554  69.65      55.70      --     6.8905e-02   577.51     697.57     IM   Marked/IM.NV31..BHZ.M.2025.210.232425.SAC
NWAO     BHZ      -32.9277   117.2390   215.17     93.34      00     4.4126e-01   790.13     1015.40    IU   Marked/IU.NWAO.00.BHZ.M.2025.210.232803.SAC
SBC      BHZ      34.4408    -119.7149  74.12      57.57      --     4.2700e-01   590.80     714.25     CI   Marked/CI.SBC..BHZ.D.2025.210.232438.SAC
SNZO     BHZ      -41.3087   174.7043   169.17     94.64      10     7.4592e-01   797.62     1025.59    IU   Marked/IU.SNZO.10.BHZ.M.2025.210.232809.SAC
TARA     BHZ      1.3549     172.9229   163.93     52.23      00     9.5654e-01   548.05     666.31     IU   Marked/IU.TARA.00.BHZ.M.2025.210.232359.SAC
TGUH     BHZ      14.0570    -87.2730   63.70      91.85      00     1.3217e-01   788.12     1003.69    CU   Marked/CU.TGUH.00.BHZ.M.2025.210.232756.SAC
TX31     BHZ      29.3343    -103.6677  66.79      70.54      --     1.7857e-01   675.12     827.76     IM   Marked/IM.TX31..BHZ.M.2025.210.232603.SAC
WVT      BHZ      36.1297    -87.8300   51.41      73.45      10     9.2380e-02   691.90     852.63     IU   Marked/IU.WVT.10.BHZ.M.2025.210.232620.SAC
YBH      BHZ      41.7320    -122.7104  69.48      50.90      00     1.9228e-01   542.50     654.34     BK   Marked/BK.YBH.00.BHZ.Q.2025.210.232349.SAC
S31K     BHZ      57.9616    -136.2320  55.39      35.22      --     2.3632e-01   414.74     489.47     AK   Marked/AK.S31K..BHZ.M.2025.210.232143.SAC
V35K     BHZ      55.3279    -131.6150  57.84      38.56      --     2.0958e-01   443.99     528.12     AK   Marked/AK.V35K..BHZ.M.2025.210.232211.SAC
YKAW1    BHZ      62.4822    -114.4842  42.15      43.34      --     1.8071e-01   482.27     579.93     CN   Marked/CN.YKAW1..BHZ.M.2025.210.232250.SAC
