    29.400       3.942699E+00   1.638761E-01   2.960341E+00  -3.124217E+00  -9.900521E-01  -1.112969E+00   2.014664E+00
    30.100       3.124910E+00   4.312720E-02   2.305822E+00  -2.348949E+00  -1.113457E+00  -1.116697E+00   1.392945E+00
    30.800       1.641412E+00  -1.133902E-01   1.048312E+00  -9.349215E-01  -7.565672E-01  -8.718693E-01   6.556023E-01
    31.500       5.079753E-01  -1.069248E-01   8.137459E-02   2.555025E-02  -3.364444E-01  -3.666936E-01   3.615643E-02
    32.200       4.152889E-01  -1.000624E-01   4.826934E-03   9.523549E-02  -1.812333E-01  -7.966772E-02  -3.517725E-01
    32.900       5.189698E-01  -1.154533E-01  -3.819748E-04   1.158353E-01  -6.623975E-02   2.334484E-01  -4.614172E-01
    33.600       3.894152E-01  -3.127580E-02  -1.135091E-01   1.447849E-01  -6.792191E-02   2.420224E-01  -2.878809E-01
    34.300       3.372913E-01  -1.344553E-02  -2.056451E-01   2.190906E-01  -2.960038E-02   1.851026E-01  -1.990302E-01
    35.000       1.306710E-01   1.270737E-02   1.744544E-02  -3.015281E-02  -5.018682E-02  -8.089597E-02  -1.008309E-01
    35.700       1.203790E-01   6.111845E-03  -7.590121E-02   6.978937E-02   4.535673E-02  -2.410751E-02  -8.073625E-02
    36.400       1.075099E-01  -1.714549E-02  -1.406735E-02   3.121283E-02   5.946545E-03  -8.665205E-02  -5.998925E-02
